Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
568400.000 51006.1797 199.979523 1606.50745 2441.03369 2898.83081 5339.86426 6534.90137 -1400.09973 -45.3161812 9224.52930 -6822.97461 0.550000012 0.595000029 0.354025006 -1354.78345 9224.52930
568600.000 51006.1797 202.915802 889.761597 2476.87500 2947.18359 5424.05859 6085.92773 -1390.79004 -45.3161812 9221.09766 -6823.52148 0.550000012 0.595000029 0.354025006 -1345.47388 9221.09766
568800.000 51006.1797 200.049988 1434.87158 2441.89355 2896.16309 5338.05664 6405.41846 -1393.30798 -45.3161812 9231.53516 -6820.63574 0.550000012 0.595000029 0.354025006 -1347.99182 9231.53516
569000.000 51006.1797 202.003036 2112.41724 2465.73340 2883.45142 5349.18457 6920.55420 -1399.17029 -45.3161812 9236.05762 -6818.40088 0.550000012 0.595000029 0.354025006 -1353.85413 9236.05762
569200.000 51006.1797 200.509628 2626.14111 2447.50415 2917.33130 5364.83545 7318.35059 -1404.35498 -45.3161812 9223.11133 -6820.88770 0.550000012 0.595000029 0.354025006 -1359.03882 9223.11133
569400.000 51006.1797 194.793549 1967.66370 2377.73120 2947.37964 5325.11084 6788.80273 -1398.03027 -45.3161812 9238.35840 -6816.19629 0.550000012 0.595000029 0.354025006 -1352.71411 9238.35840
569600.000 51006.1797 202.035690 1554.90771 2466.13184 2955.71802 5421.85010 6578.50342 -1407.27136 -45.3161812 9237.47656 -6816.02393 0.550000012 0.595000029 0.354025006 -1361.95520 9237.47656
569800.000 51006.1797 199.686508 2294.88550 2437.45679 2921.53882 5358.99561 7066.09863 -1418.36206 -45.3161812 9237.75488 -6819.46582 0.550000012 0.595000029 0.354025006 -1373.04590 9237.75488
570000.000 51006.1797 201.309616 2953.75391 2457.26904 2895.47021 5352.73926 7549.95605 -1409.72485 -45.3161812 9235.93945 -6818.94922 0.550000012 0.595000029 0.354025006 -1364.40869 9235.93945
570200.000 51006.1797 200.175766 2062.65820 2443.42896 2971.42603 5414.85498 6949.21045 -1384.58984 -45.3161812 9229.96484 -6816.92188 0.550000012 0.595000029 0.354025006 -1339.27356 9229.96484
570400.000 51006.1797 201.620743 1281.81677 2461.06689 2944.67041 5405.73730 6359.24609 -1393.59595 -45.3161812 9226.32324 -6812.93945 0.550000012 0.595000029 0.354025006 -1348.27966 9226.32324
570600.000 51006.1797 198.245529 2017.81726 2419.86768 2901.05322 5320.92090 6821.92041 -1410.61060 -45.3161812 9240.07422 -6814.37451 0.550000012 0.595000029 0.354025006 -1365.29443 9240.07422
570800.000 51006.1797 201.611008 1982.30505 2460.94800 2941.21094 5402.15918 6876.74170 -1413.74805 -45.3161812 9229.78320 -6818.09717 0.550000012 0.595000029 0.354025006 -1368.43188 9229.78320
571000.000 51006.1797 203.557724 1242.85693 2484.71045 2906.31055 5391.02100 6315.54834 -1383.57800 -45.3161812 9227.96582 -6821.31738 0.550000012 0.595000029 0.354025006 -1338.26184 9227.96582
571200.000 51006.1797 200.543457 1464.92944 2447.91699 2919.42676 5367.34375 6457.06494 -1384.94678 -45.3161812 9227.32227 -6817.22705 0.550000012 0.595000029 0.354025006 -1339.63074 9227.32227
571400.000 51006.1797 204.317993 2539.38770 2493.99072 2899.45190 5393.44238 7282.42432 -1401.13147 -45.3161812 9231.91992 -6818.97754 0.550000012 0.595000029 0.354025006 -1355.81531 9231.91992
571600.000 51006.1797 195.109116 3008.40601 2381.58301 2915.91382 5297.49707 7535.36816 -1402.26807 -45.3161812 9232.62695 -6818.27686 0.550000012 0.595000029 0.354025006 -1356.95190 9232.62695
571800.000 51006.1797 199.383545 2544.95874 2433.75854 2952.34106 5386.09961 7279.22559 -1380.44775 -45.3161812 9230.89551 -6818.70410 0.550000012 0.595000029 0.354025006 -1335.13159 9230.89551
572000.000 51006.1797 199.418701 1549.65625 2434.18774 2926.35010 5360.53760 6513.28467 -1390.38904 -45.3161812 9226.31250 -6820.67627 0.550000012 0.595000029 0.354025006 -1345.07275 9226.31250
572200.000 51006.1797 199.186935 1300.50415 2431.35889 2863.09814 5294.45703 6261.86670 -1383.53052 -45.3161812 9224.67969 -6820.79883 0.550000012 0.595000029 0.354025006 -1338.21436 9224.67969
572400.000 51006.1797 201.080124 1736.67664 2454.46802 2907.33252 5361.80078 6653.66699 -1403.16187 -45.3161812 9224.31445 -6819.92871 0.550000012 0.595000029 0.354025006 -1357.84570 9224.31445
572600.000 51006.1797 200.384964 2483.28589 2445.98242 2944.66089 5390.64307 7237.89209 -1375.45825 -45.3161812 9225.53613 -6822.11182 0.550000012 0.595000029 0.354025006 -1330.14197 9225.53613
572800.000 51006.1797 191.339722 2539.72339 2335.57251 2947.52710 5283.09961 7172.33057 -1386.45435 -45.3161812 9223.93750 -6820.72363 0.550000012 0.595000029 0.354025006 -1341.13806 9223.93750
573000.000 51006.1797 199.965332 2563.63721 2440.86035 2925.35571 5366.21582 7273.23633 -1401.58350 -45.3161812 9230.52344 -6821.38672 0.550000012 0.595000029 0.354025006 -1356.26733 9230.52344
573200.000 51006.1797 199.006180 3024.31030 2429.15234 2943.03125 5372.18359 7621.88574 -1396.11072 -45.3161812 9224.67969 -6818.26758 0.550000012 0.595000029 0.354025006 -1350.79456 9224.67969
573400.000 51006.1797 192.634644 3194.32422 2351.37891 2908.63794 5260.01660 7636.18750 -1408.85376 -45.3161812 9233.41504 -6820.65576 0.550000012 0.595000029 0.354025006 -1363.53748 9233.41504
573600.000 51006.1797 200.023819 2511.72534 2441.57422 2904.31519 5345.88916 7214.29346 -1409.69946 -45.3161812 9213.71484 -6822.15869 0.550000012 0.595000029 0.354025006 -1364.38330 9213.71484
573800.000 51006.1797 197.200455 1721.47217 2407.11108 2939.83545 5346.94629 6627.50244 -1396.89856 -45.3161812 9224.25977 -6818.67334 0.550000012 0.595000029 0.354025006 -1351.58240 9224.25977
574000.000 51006.1797 201.574722 1162.35229 2460.50513 2954.78516 5415.29053 6279.93262 -1394.67688 -45.3161812 9216.84863 -6817.32129 0.550000012 0.595000029 0.354025006 -1349.36072 9216.84863
574200.000 51006.1797 198.455246 2057.46973 2422.42749 2899.39380 5321.82129 6852.31738 -1405.79028 -45.3161812 9232.89062 -6813.97168 0.550000012 0.595000029 0.354025006 -1360.47424 9232.89062
574400.000 51006.1797 198.943787 1881.33606 2428.39062 2917.45898 5345.84961 6745.32422 -1400.98181 -45.3161812 9238.89551 -6816.19873 0.550000012 0.595000029 0.354025006 -1355.66565 9238.89551
574600.000 51006.1797 201.754715 2156.11108 2462.70215 2961.61279 5424.31494 7028.18750 -1382.76074 -45.3161812 9227.18848 -6820.78369 0.550000012 0.595000029 0.354025006 -1337.44446 9227.18848
574800.000 51006.1797 200.650467 1805.04163 2449.22339 2910.70068 5359.92432 6702.64551 -1404.85266 -45.3161812 9229.71582 -6818.26807 0.550000012 0.595000029 0.354025006 -1359.53662 9229.71582
575000.000 51006.1797 199.612793 2410.04590 2436.55713 2929.98242 5366.53955 7159.30713 -1401.68604 -45.3161812 9242.90430 -6815.31738 0.550000012 0.595000029 0.354025006 -1356.36975 9242.90430
575200.000 51006.1797 202.036148 1627.82959 2466.13770 2974.20215 5440.33984 6651.23779 -1397.32861 -45.3161812 9232.91406 -6817.24512 0.550000012 0.595000029 0.354025006 -1352.01245 9232.91406
575400.000 51006.1797 198.810196 1571.96289 2426.76025 2912.71240 5339.47266 6508.81299 -1406.55554 -45.3161812 9235.65625 -6818.71680 0.550000012 0.595000029 0.354025006 -1361.23938 9235.65625
575600.000 51006.1797 198.905823 2072.00757 2427.92749 2954.98755 5382.91504 6924.22510 -1414.29321 -45.3161812 9252.36914 -6818.96387 0.550000012 0.595000029 0.354025006 -1368.97705 9252.36914
